Census year,Block ID,Property ID,Base property ID,CLUE small area,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2020,1,108843,108843,Melbourne (CBD),62 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),14 Rebecca Walk MELBOURNE VIC 3000,9511,Hairdressing and Beauty Services,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),86 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),50 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),26 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),92 Rebecca Walk MELBOURNE VIC 3000,4512,Takeaway Food Services,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),74-80 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),32 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),"Substation 142 Rear 581 Flinders Street, MELBOURNE VIC 3000",2630,Electricity Distribution,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),38 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),56 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),20 Rebecca Walk MELBOURNE VIC 3000,6639,Other Goods and Equipment Rental and Hiring n.e.c.,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),44 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),Rear 555 Flinders Street MELBOURNE VIC 3000,9533,Parking Services,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),2 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),68 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,108843,108843,Melbourne (CBD),8 Rebecca Walk MELBOURNE VIC 3000,0,Vacant Space,144.95687,-37.82121,"(-37.82121122, 144.9568736)"
2020,1,611393,611393,Melbourne (CBD),Level 9-10 525 Flinders Street MELBOURNE VIC 3000,7000,Computer System Design and Related Services,144.95721,-37.82087,"(-37.82087039, 144.9572082)"
2020,1,611393,611393,Melbourne (CBD),Part Level 3 525 Flinders Street MELBOURNE VIC 3000,6322,General Insurance,144.95721,-37.82087,"(-37.82087039, 144.9572082)"
2020,1,611393,611393,Melbourne (CBD),12 Gem Place MELBOURNE VIC 3000,0,Vacant Space,144.95721,-37.82087,"(-37.82087039, 144.9572082)"
2020,1,611393,611393,Melbourne (CBD),Level 8 525 Flinders Street MELBOURNE VIC 3000,6419,Other Auxiliary Finance and Investment Services,144.95721,-37.82087,"(-37.82087039, 144.9572082)"
2020,1,611393,611393,Melbourne (CBD),Part Lvl 3 & Levels 4-6 525 Flinders Street MELBOURNE VIC 3000,2640,On Selling Electricity and Electricity Market Operation,144.95721,-37.82087,"(-37.82087039, 144.9572082)"
