144.959522 -37.800095 --> NOTFOUND
0 0 --> Census year: 2020 || Block ID: 5 || Property ID: 101345 || Base property ID: 101345 || CLUE small area: Melbourne (CBD) || Business address: Kiosk 12, Campbell Arcade MELBOURNE VIC 3000 || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 2540 || Property ID: 618478 || Base property ID: 618478 || CLUE small area: Kensington || Business address: Pumping Station No.1 Smith Street KENSINGTON VIC 3031 || Industry (ANZSIC4) code: 2812 || Industry (ANZSIC4) description: Sewerage and Drainage Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 2385 || Property ID: 618527 || Base property ID: 618527 || CLUE small area: North Melbourne || Business address: Pumping Station No.5 Sutton Street NORTH MELBOURNE VIC 3051 || Industry (ANZSIC4) code: 2812 || Industry (ANZSIC4) description: Sewerage and Drainage Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 2385 || Property ID: 618476 || Base property ID: 618476 || CLUE small area: North Melbourne || Business address: Pumping Station No.2 330 Macaulay Road KENSINGTON VIC 3031 || Industry (ANZSIC4) code: 2812 || Industry (ANZSIC4) description: Sewerage and Drainage Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 1108 || Property ID: 678365 || Base property ID: 678365 || CLUE small area: Docklands || Business address: 125 Harbour Esplanade DOCKLANDS VIC 3008 || Industry (ANZSIC4) code: 9499 || Industry (ANZSIC4) description: Other Repair and Maintenance n.e.c. || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 931 || Property ID: 525698 || Base property ID: 525698 || CLUE small area: Parkville || Business address: Antenna Off Brens Drive, PARKVILLE VIC 3052 || Industry (ANZSIC4) code: 5809 || Industry (ANZSIC4) description: Other Telecommunications Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 931 || Property ID: 107423 || Base property ID: 107423 || CLUE small area: Parkville || Business address: Antenna Off Brens Drive, PARKVILLE VIC 3052 || Industry (ANZSIC4) code: 5809 || Industry (ANZSIC4) description: Other Telecommunications Services || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 901 || Property ID: 545572 || Base property ID: 545572 || CLUE small area: Parkville || Business address: Substation 146 Opposite 29-53 Ievers Street, PARKVILLE VIC 3052 || Industry (ANZSIC4) code: 2630 || Industry (ANZSIC4) description: Electricity Distribution || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 739 || Property ID: 567772 || Base property ID: 567772 || CLUE small area: Southbank || Business address: Substation 99A Sturt Street SOUTHBANK VIC 3006 || Industry (ANZSIC4) code: 2630 || Industry (ANZSIC4) description: Electricity Distribution || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 613 || Property ID: 111447 || Base property ID: 111447 || CLUE small area: East Melbourne || Business address: Building Opposite 172 Powlett Street, EAST MELBOURNE VIC 3002 || Industry (ANZSIC4) code: 7530 || Industry (ANZSIC4) description: Local Government Administration || x coordinate:  || y coordinate:  || Location:  || 
0 0 --> Census year: 2020 || Block ID: 604 || Property ID: 545681 || Base property ID: 545681 || CLUE small area: East Melbourne || Business address: Substation 36 Opposite 96 Simpson Street, EAST MELBOURNE VIC 3002 || Industry (ANZSIC4) code: 2630 || Industry (ANZSIC4) description: Electricity Distribution || x coordinate:  || y coordinate:  || Location:  || 
